server_seed,client_seed,nonce,raw_output,outcome,timestamp,mechanism_id
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231748,b98c58e6867869bd9acae98c047a2c050613b11356359352c0d82b6a24a9951c,59.0,2026-06-03T15:47:29.004263+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231749,a7cd7d9858bfc75a9b3a809c3626717f5019347384067983764baa49ed51d6c0,5.0,2026-06-03T15:47:29.004334+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231750,8cdf014d491bd4253e61398f57b938cf4ae508f08e8b107dd0a8565b5b08fdb1,2.0,2026-06-03T15:47:29.004385+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231751,1afd77339e0a726c0f9d1dac11ea8c590164f907de5b7588a5009776277d0473,40.0,2026-06-03T15:47:29.004430+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231752,25c999b20a551e40cd2fc20052a6afcd157b193857efbbe3fe09c72f5fdc7fe9,75.0,2026-06-03T15:47:29.004472+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231753,483138318ad96c9ece27c86ff273fcae2458916a84f8ed433b0078452eafdb57,2.0,2026-06-03T15:47:29.004513+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231754,6246859a60de6feb4b4aaf3484488804858b2958d1895f2edc4eaf34fee102fb,91.0,2026-06-03T15:47:29.004553+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231755,f1e74c4696aa4c47e73de175f5562d7842ef9cfcd1b984078ab08c183d40a874,99.0,2026-06-03T15:47:29.004591+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231756,5be9cc053c9f0714e90c566b7275ae444cac85572290ed33c9fe0cf3341dc4cc,74.0,2026-06-03T15:47:29.004628+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231757,4b176ede15845d411b635f01740064567f08df4ddc81e0f6bb1dd9892fab06f4,11.0,2026-06-03T15:47:29.004666+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231758,a58fd444d1cdaaddf1f13c4d4180d4006544714d077a4a7a280314c381f744bc,29.0,2026-06-03T15:47:29.004705+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231759,7e75300fb6441463c213dbf0ae8de9b5f61c33b506eb023c9aa371c16d93405a,32.0,2026-06-03T15:47:29.004743+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231760,1740f790c03e3bfd67246fecc00bee0ab44fb9836a1983a1efa9cf2e0e006d34,49.0,2026-06-03T15:47:29.004782+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231761,1a96cfc03af6fd283df882ff365853271b8720a009ff12adbc8ab824a0c3c03e,1.0,2026-06-03T15:47:29.004890+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231762,c80076c75c60b6783c1b84ac1ddd2a05cf5e7d3fac098297b3dfdd17dc47e327,8.0,2026-06-03T15:47:29.004935+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231763,beef203848a2a55e3f43fe01db757e22ce69d97f71d51bac56b9c699fd592492,93.0,2026-06-03T15:47:29.004974+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231764,62fcc4b946b9ab3c6a74df6bec96c5299892e54dfcfde4995d952bd9173925ca,2.0,2026-06-03T15:47:29.005013+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231765,83d167b3477c503b0dab9f5d4094ea6fca9cac38f6af266652c228335fc22968,68.0,2026-06-03T15:47:29.005051+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231766,02b3ddb984acec271fdf98c53bcd2200f965eb51f5e741e90eafa32907ff5155,38.0,2026-06-03T15:47:29.005089+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231767,d0478b13c06a2c01896ffb3561dad0fa636e29a5225b232abfd3b93bb6264400,88.0,2026-06-03T15:47:29.005128+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231768,01f0a71782acfab90d3a19b640523e94cd879fe0b2f34946ec5e920ad7368eb0,32.0,2026-06-03T15:47:29.005165+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231769,a5ac8a0b53208a6fa5569ceb1110ab5c88332572a404bcc62571e782c2aae03e,72.0,2026-06-03T15:47:29.005201+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231770,648b5981bfd8f4ca6283f6b89be238bd129bbcde1dcbafd99350c865f143129e,18.0,2026-06-03T15:47:29.005239+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231771,f944c2835e285eb99834130297be07eeb2b8684c1115dadf5282db8b8d97c1ac,28.0,2026-06-03T15:47:29.005279+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231772,a744d49e74b0238a728fc6b6386ac823834cec25ccbe87d1c13e6a0cfb32ee79,51.0,2026-06-03T15:47:29.005317+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231773,3d23c93753090b2c1a2d799d4bb0550ee4f090604bb131b3d4a493f5efa812b3,48.0,2026-06-03T15:47:29.005356+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231774,2093d1700c9203bf841c909bd81e774c853fa47cdcedad8f2ee6b43d370e95bb,21.0,2026-06-03T15:47:29.005393+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231775,2c533c21b5a6f2fdcfeb1231a48324ddf91e7fba09e5605a58e9400bb63f306e,86.0,2026-06-03T15:47:29.005431+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231776,572078ed849d1fe5a292546edb0aaecc0efe7f28ec98a9ca0e8d8b35b1b45fec,2.0,2026-06-03T15:47:29.005468+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231777,a31cdcebb0f0b830f59e3a13ac708d76a38efda1213627c3bdceb007ecd914b1,72.0,2026-06-03T15:47:29.005508+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231778,1f5495443c7c1f1f8f2a574120f37cd82282c2fa95ca535cf9630038964f3b87,33.0,2026-06-03T15:47:29.005584+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231779,34c6d3fcf184a2c91a64a006f60ee0bd062c3f35f4a8b262d65a749745e1b616,29.0,2026-06-03T15:47:29.005622+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231780,028d2ad25efb7620421c606293f3ad8563d5c51520e6f95da56610ebb8b245af,71.0,2026-06-03T15:47:29.005668+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231781,c3b2eebd583883430297d0d061481dcc6698f221dbe257f4514846b2a20de3a7,46.0,2026-06-03T15:47:29.005705+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231782,ca0e8e6943464a90783bca7fd013fe3b3f6737d8b108550f8d6bc1116c716620,94.0,2026-06-03T15:47:29.005741+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231783,d0935a8576e6726f149c769caf28dfe32a463638e6f7baca768d7944a36b5d19,94.0,2026-06-03T15:47:29.005777+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231784,4a87e20f13a493b61b9ca2f6fed056263febeaaa846e4b1d31d5400d832f5c20,16.0,2026-06-03T15:47:29.005812+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231785,b1b7547d2d339d8af69cda756f40e0a9ebd0f4be5782eac07660f6f530a66e5b,50.0,2026-06-03T15:47:29.005848+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231786,4d1a141eebc47668379ca5872a766db0a4a17ecd53ec62b72a40c3e0b17acad3,19.0,2026-06-03T15:47:29.005883+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231787,3d62657a8664a4caea11b0beed05d43541bb5335b1c763c640582024f1a52565,83.0,2026-06-03T15:47:29.005919+00:00,blockrand-drand-quicknet
a1fb3c503e2a28c4f32526ccfe2607eae177052d3fc4d423e6d807fd8a620530,example-player-secret-12345,29231788,e6ceafc10b8f40f85cf565d68cded1671a35fed9bc357235858374dd1e9211df,90.0,2026-06-03T15:47:29.005954+00:00,blockrand-drand-quicknet
